2423	2254	2279	2264	2260	2275	2287	2218	2232	2224	2259	2274	2208	2133	2164	2218	2167	2244	2447	2447	
2075	2911	2756	2917	2886	2590	1986	1937	2012	2447	2130	2285	2812	2874	2254	2271	2260	2534	2447	2719	
3323	2812	2812	3072	2335	2056	1940	1879	1889	1982	2174	2220	2447	2911	2633	2447	2447	2447	2521	2321	
3323	2812	2911	1932	1711	1665	1745	1822	1871	1909	2105	2174	2192	2781	2230	2509	2365	2435	1982	2075	
3232	2987	2843	2111	1822	1760	1967	1865	1851	1849	1948	2192	2208	2763	2775	2633	2447	2447	2719	2911	
3060	2861	2396	2266	2325	2299	2296	2060	1844	1843	1929	2202	2384	2775	2840	2707	3004	3010	3072	3004	
2961	2961	2707	2224	2341	2371	2347	2138	1859	1918	2158	2321	2760	2763	2840	2929	2836	2987	2961	3072	
3072	2886	2756	2373	2218	2220	2224	2186	1982	2164	2309	2663	2713	2769	2784	2800	2836	2861	2935	2937	
3072	2812	2814	2763	2620	2302	2186	2186	2153	2232	2447	2703	2775	2788	2769	2830	2834	2812	2915	3072	
2874	2707	2840	2679	2382	2210	2220	2243	2385	2521	2719	2729	2695	2744	2703	2800	2725	2836	2987	3010	
2874	2874	2855	2763	2447	2393	2465	2653	2713	2703	2713	2695	2703	2719	2756	2814	2812	2874	2899	2961	
2707	2849	2794	2800	2739	2711	2750	2703	2695	2745	2686	2677	2775	2731	2788	2784	2812	2874	2899	3072	
2707	2794	2794	2830	2738	2719	2750	2739	2668	2713	2719	2686	2745	2750	2756	2769	2830	2855	2867	3072	
2861	2683	2812	2784	2756	2744	2695	2719	2668	2703	2662	2703	2712	2763	2756	2756	2800	2893	2915	3010	
2568	2703	2814	2769	2806	2731	2750	2719	2703	2729	2729	2648	2739	2719	2800	2830	2800	2836	2987	3010	
2484	2578	2788	2800	2772	2775	2719	2703	2712	2755	2729	2729	2790	2744	2769	2830	2800	2943	2899	3010	
2471	2546	2750	2800	2788	2806	2766	2703	2739	2750	2729	2763	2775	2772	2846	2849	2812	2861	2874	3004	
2447	2528	2739	2862	2830	2806	2803	2791	2719	2766	2739	2750	2788	2812	2769	2905	2855	2929	3022	3004	
2447	2521	2695	2830	2861	2812	2812	2775	2803	2766	2775	2803	2806	2830	2849	2855	2911	2967	2899	3016	
2325	2565	2695	2772	2814	2755	2744	2760	2836	2800	2800	2731	2794	2861	2814	2794	2849	2961	3004	2961	
2406	2521	2540	2578	2546	2620	2763	2763	2707	2578	2645	2645	2620	2707	2657	2509	2371	2620	2812	2620	
2226	2403	2399	2366	2302	2445	2509	2503	2204	2093	2509	2447	2399	2347	2254	2254	2297	2343	2321	2365	
2303	2143	2175	2136	2111	2089	2099	2109	2069	2121	2095	2144	2122	2152	2109	2181	2181	2180	2174	2272	
2077	2038	1938	1981	2103	2077	2077	2065	2049	2056	2067	2067	2038	2089	2066	2121	2143	2174	2105	2347	
1894	1889	1822	1882	2137	2075	1822	1982	2174	2148	1932	1932	1907	2075	2154	2149	2148	2124	1932	2447	
